"ATTACHMENTS","إرفاق ملفات"
"Mandatory For Profit and Loss Account","إلزامي لحساب الربح والخسارة"
"Hotel Room Occupancy","فندق غرفة إشغال"
"Please set default Cash or Bank account in Mode of Payment {0}","يرجى تعيين حساب النقد أو الحساب المصرفيالافتراضي لطريقة الدفع {0}"
"Enroll","سجل"
"GST Settings","إعدادات غست"
"Currency should be same as Price List Currency: {0}","يجب أن تكون العملة مماثلة لعملة قائمة الأسعار: {0}"
"Customer Naming By","تسمية العملاء بواسطة"
"Will show the student as Present in Student Monthly Attendance Report","سوف تظهر الطالب كما موجود في طالب تقرير الحضور الشهري"
"Depreciation Amount","قيمة الإهلاك"
"Convert to Group","تحويل إلى تصنيف (مجموعة)"
"Activity Type","نوع النشاط"
"For individual supplier","عن مورد فردي"
"Base Hour Rate(Company Currency)","سعر الساعة الأساسي (عملة الشركة)"
"Delivered Amount","القيمة التي تم تسليمها"
"Reserved Qty for Production: Raw materials quantity to make manufacturing items.","الكمية المخصصة للإنتاج: كمية المواد الخام لتصنيع المواد."
"Redemption Date","تاريخ الاسترداد"
"This bank transaction is already fully reconciled","تمت تسوية هذه الصفقة المصرفية بالفعل بالكامل"
"Packing List","قائمة التعبئة"
"Purchase Orders given to Suppliers.","أوامر شراء تم إصدارها للموردين."
"Contract Template","قالب العقد"
"Transfer Qty","نقل الكمية"
"Asset Location","موقع الأصول"
"From Date can not be greater than To Date","من تاريخ لا يمكن أن يكون أكبر من إلى تاريخ"
"Shipping Zipcode","الشحن الرمز البريدي"
"Publishing","جاري النشر"
"Report Settings","إعدادات التقارير"
"Projects User","عضو المشاريع"
"Consumed","مستهلك"
"{0}: {1} not found in Invoice Details table","{0}: {1} غير موجود في جدول تفاصيل الفواتير"
"Asset Owner Company","شركة مالك الأصول"
"Round Off Cost Center","مركز التكلفة الخاص بالتقريب"
"Maintenance Visit {0} must be cancelled before cancelling this Sales Order","يجب إلغاء زيارة الصيانة {0} قبل إلغاء طلب المبيعات"
"What do you need help with?","ما الذى تحتاج المساعدة به؟"
"Shift Start","بداية فترة العمل"
"Material Transfer","نقل المواد"
"Cost Center Number","رقم مركز التكلفة"
"Could not find path for","تعذر العثور على مسار ل"
"Opening (Dr)","افتتاحي  (مدين)"
"Work End Date","تاريخ انتهاء العمل"
"Applicant","طالب وظيفة"
"Posting timestamp must be after {0}","الطابع الزمني للترحيل يجب أن يكون بعد {0}"
"GST Itemised Purchase Register","غست موزعة شراء سجل"
"Applicable if the company is a limited liability company","قابل للتطبيق إذا كانت الشركة شركة ذات مسؤولية محدودة"
"Reschedule","إعادة جدولة"
"Item Tax Template","قالب ضريبة الصنف"
"Total Interest Payable","مجموع الفائدة الواجب دفعها"
"Reason for Hold","سبب الحجز"
"Landed Cost Taxes and Charges","تكلفة الضريبة والرسوم بعد الوصول"
"Row {0}: Please set at Tax Exemption Reason in Sales Taxes and Charges","الصف {0}: يرجى تعيين سبب الإعفاء الضريبي في ضرائب ورسوم المبيعات"
"Quality Goal Objective","هدف جودة الغاية"
"Actual Start Time","الفعلي وقت البدء"
"Deferred Expense Account","حساب المصروفات المؤجلة"
"Operation Time","وقت العملية"
"Finish","إنهاء"
"Base","الاساسي"
"Total Billed Hours","مجموع الساعات وصفت"
"Pricing Rule Item Group","مجموعة قاعدة التسعير"
"Travel To","يسافر إلى"
"Exchange Rate Revaluation master.","أساس إعادة تقييم سعر الصرف."
"Write Off Amount","شطب المبلغ"
"Allow User","تسمح للمستخدم"
"Bill No","رقم الفاتورة"
"Gain/Loss Account on Asset Disposal","حساب الربح / الخسارة الخاص بالتخلص من الأصول"
"Service Details","تفاصيل الخدمة"
"Grouped","مجمعة"
"Delivery Note Required","إشعار التسليم مطلوب"
"Submitting Salary Slips...","تقديم إيصالات الراتب ..."
"Bank Guarantee Number","رقم ضمان البنك"
"Assessment Criteria","معايير التقييم"
"Basic Rate (Company Currency)","السعر الأساسي (عملة الشركة)"
"While creating account for child Company {0}, parent account {1} not found. Please create the parent account in corresponding COA","أثناء إنشاء حساب لشركة تابعة {0} ، لم يتم العثور على الحساب الأصل {1}. يرجى إنشاء الحساب الأصل في شهادة توثيق البرامج المقابلة"
"Split Issue","تقسيم القضية"
"Student Attendance","الحضور طالب"
"No data to export","لا توجد بيانات للتصدير"
"Time Sheet","سجل الدوام"
"Backflush Raw Materials Based On","Backflush المواد الخام مبني على"
"Port Code","رمز الميناء"
"Reserve Warehouse","مستودع احتياطي"
"Lead is an Organization","العميل المحتمل هو منظمة"
"Interest","فائدة"
"Pre Sales","قبل البيع"
"Other Details","تفاصيل أخرى"
"Actual Delivery Date","تاريخ التسليم الفعلي"
"Test Template","نموذج الاختبار"
"Served","تمت الخدمة"
"Chapter information.","معلومات المنظمة."
"Accounts","حسابات"
"Odometer Value (Last)","قراءة عداد المسافات (الأخيرة)"
"Templates of supplier scorecard criteria.","نماذج من معايير بطاقة تقييم المورد."
"Marketing","التسويق"
"Redeem Loyalty Points","استبدل نقاط الولاء"
"Payment Entry is already created","السند قد تم انشاؤه بالفعل"
"Get Suppliers","الحصول على الموردين"
"Current Stock","المخزون الحالية"
"System will notify to increase or decrease quantity or amount","سيُعلم النظام بزيادة أو تقليل الكمية أو الكمية"
"Row #{0}: Asset {1} does not linked to Item {2}","الصف # {0}: الأصل {1} غير مترابط مع الصنف {2}"
"Preview Salary Slip","معاينة إيصال الراتب"
"Create Timesheet","إنشاء الجدول الزمني"
"Account {0} has been entered multiple times","تم إدخال الحساب {0} عدة مرات"
"Expenses Included In Valuation","المصروفات الداخلة في التقييم"
"You can only renew if your membership expires within 30 days","يمكنك تجديد عضويتك اذا انتهت عضويتك خلال 30 يوما"
"Show Stock Availability","عرض توافر المخزون"
"Set {0} in asset category {1} or company {2}","تعيين {0} في فئة الأصول {1} أو الشركة {2}"
"As per section 17(5)","حسب القسم 17 (5)"
"Longitude","خط الطول"
"Absent Student Report","تقرير طالب متغيب"
"Crop Spacing UOM","تباعد المحاصيل أوم"
"Single Tier Program","برنامج الطبقة الواحدة"
"Only select if you have setup Cash Flow Mapper documents","حدد فقط إذا كنت قد أعددت وثائق مخطط التدفق النقدي"
"From Address 1","من العنوان 1"
"Next email will be sent on:","سيتم إرسال البريد الإلكترونية التالي في :"
"Per Week","في الاسبوع"
"Item has variants.","الصنف لديه متغيرات."
"Total Student","إجمالي الطالب"
"Item {0} not found","الصنف {0} لم يتم العثور على"
"Stock Value","قيمة المخزون"
"Duplicate {0} found in the table","مكرر {0} موجود في الجدول"
"Company {0} does not exist","الشركة {0} غير موجودة"
"{0} has fee validity till {1}","{0} له صلاحية الرسوم حتى {1}"
"Tree Type","نوع الشجرة"
"Employee Grade (optional)","درجة الموظف (اختياري)"
"Apply Rule On Other","تطبيق القاعدة على الآخر"
"Qty Consumed Per Unit","الكمية المستهلكة لكل وحدة"
"Late Entry Grace Period","فترة سماح الدخول المتأخرة"
"IGST Account","حساب إيغست"
"Warranty Expiry Date","ضمان تاريخ الانتهاء"
"Quantity and Warehouse","الكمية والمخزن"
"Commission Rate (%)","نسبة العمولة (٪)"
"Please select Program","يرجى تحديد البرنامج"
"Estimated Cost","التكلفة التقديرية"
"Link to material requests","رابط لطلبات المادية"
"Publish","نشر"
"Aerospace","الفضاء"
"Fichier des Ecritures Comptables [FEC]","فيشير ديس إكوريتورس كومبتابليز [فيك]"
"Credit Card Entry","إدخال بطاقة إئتمان"
"Invoices for Costumers.","فواتير العملاء."
"In Value","القيمة القادمة"
"Depreciation Options","خيارات الإهلاك"
"Either location or employee must be required","الموقع أو الموظف، أحدهما إلزامي"
"Create Employee","إنشاء موظف"
"Invalid Posting Time","وقت نشر غير صالح"
"Condition and Formula","الشرط و الصيغة"
"Campaign Name","اسم الحملة"
"There is no leave period in between {0} and {1}","لا توجد فترة إجازة بين {0} و {1}"
"Healthcare Practitioner","طبيب الرعاية الصحية"
"Capacity","سعة"
"Expense Type","نوع المصاريف"
"Close Opportunity After Days","فرصة قريبة بعد يوم"
"Reserved","محجوز"
"License Details","تفاصيل الترخيص"
"The field From Shareholder cannot be blank","لا يمكن ترك الحقل من المساهمين فارغا"
"Allocation","توزيع"
"Supply Raw Materials","توريد المواد الخام"
"Structures have been assigned successfully","تم تخصيص الهياكل بنجاح"
"Create Opening Sales and Purchase Invoices","إنشاء فواتير مبيعات وشراء افتتاحية"
"Current Assets","أصول متداولة"
"{0} is not a stock Item","{0} ليس من نوع المخزون"
"Please share your feedback to the training by clicking on 'Training Feedback' and then 'New'","يرجى حصة ملاحظاتك للتدريب من خلال النقر على &quot"
"Caller Information","معلومات المتصل"
"Default Account","الافتراضي حساب"
"Please select Sample Retention Warehouse in Stock Settings first","يرجى تحديد نموذج الاحتفاظ مستودع في إعدادات المخزون أولا"
"Please select the Multiple Tier Program type for more than one collection rules.","يرجى تحديد نوع البرنامج متعدد الطبقات لأكثر من قواعد مجموعة واحدة."
"Received Amount (Company Currency)","تلقى المبلغ (شركة العملات)"
"Payment Cancelled. Please check your GoCardless Account for more details","دفع ملغى. يرجى التحقق من حسابك في GoCardless لمزيد من التفاصيل"
"Skip Material Transfer to WIP Warehouse","تخطي نقل المواد إلى مستودع WIP"
"N/A","N / A"
"Task Type","نوع المهمة"
"Topic Content","محتوى الموضوع"
"Send with Attachment","إرسال مع المرفقات"
"Priorities","أولويات"
"Please select weekly off day","الرجاء اختيار يوم العطلة الاسبوعي"
"O Negative","O سلبي"
"Planned End Time","وقت الانتهاء المخطط له"
"Only show Items from these Item Groups","فقط عرض الأصناف من مجموعات الأصناف هذه"
"Account with existing transaction cannot be converted to ledger","لا يمكن تحويل حساب جرت عليه أي عملية إلى حساب دفتر أستاذ"
"Memebership Type Details","تفاصيل نوع العضوية"
"Customer's Purchase Order No","رقم أمر الشراء الصادر من العميل"
"Consume Stock","أستهلاك المخزون"
"Budget Against","الميزانية مقابل"
"Lost Reasons","أسباب ضائعة"
"Auto Material Requests Generated","تم إنشاء طلب مواد تلقائي"
"Working hours below which Half Day is marked. (Zero to disable)","ساعات العمل أدناه التي يتم وضع علامة نصف يوم. (صفر لتعطيل)"
"Total Completed Qty","إجمالي الكمية المكتملة"
"Auto Leave Encashment","إجازة مغادرة السيارات"
"Lost","مفقود"
"You can not enter current voucher in 'Against Journal Entry' column","لا يمكنك إدخال مستند الصرف الحالي المقابل للإدخال بدفتر اليومية في العمود"
"Max Benefit Amount","أقصى فائدة المبلغ"
"Reserved for manufacturing","محفوظة لتصنيع"
"Sand","رمل"
"Energy","طاقة"
"Opportunity From","فرصة من"
"Row {0}: {1} Serial numbers required for Item {2}. You have provided {3}.","الصف {0}: {1} الأرقام التسلسلية المطلوبة للصنف {2}. لقد قدمت {3}."
"Cannot set quantity less than delivered quantity","لا يمكن ضبط كمية أقل من الكمية المسلمة"
"Please select a table","يرجى تحديد جدول"
"Website Specifications","موقع المواصفات"
"Please add the account to root level Company - %s","الرجاء إضافة الحساب إلى مستوى الجذر الشركة -٪ s"
"Content Activity","نشاط المحتوى"
"Particulars","تفاصيل"
"{0}: From {0} of type {1}","{0}: من {0} من نوع {1}"
"Sends Mails to lead or contact based on a Campaign schedule","يرسل رسائل إلى الرصاص أو الاتصال بناءً على جدول الحملة"
"Row {0}: Conversion Factor is mandatory","الصف {0}: معامل التحويل إلزامي"
"A+","+A"
"Multiple Price Rules exists with same criteria, please resolve conflict by assigning priority. Price Rules: {0}","توجد قواعد أسعار متعددة بنفس المعايير، يرجى حل النزاع عن طريق تعيين الأولوية. قاعدة السعر: {0}"
"Exchange Rate Revaluation Account","حساب إعادة تقييم سعر الصرف"
"Min Amt can not be greater than Max Amt","مين آمت لا يمكن أن يكون أكبر من ماكس آمت"
"Cannot deactivate or cancel BOM as it is linked with other BOMs","لا يمكن تعطيل أو إلغاء قائمة المواد لانها مترابطة مع قوائم مواد اخرى"
"Please select Company and Posting Date to getting entries","يرجى تحديد الشركة وتاريخ التسجيل للحصول على إدخالات"
"Maintenance","صيانة"
"Get from Patient Encounter","الحصول على من لقاء المريض"
"Subscriber","مكتتب"
"Item Attribute Value","قيمة مواصفة الصنف"
"Currency Exchange must be applicable for Buying or for Selling.","يجب أن يكون صرف العملات ساريًا للشراء أو البيع."
"Only expired allocation can be cancelled","يمكن فقط إلغاء التخصيص المنتهي"
"Maximum sample quantity that can be retained","الحد الأقصى لعدد العينات التي يمكن الاحتفاظ بها"
"Row {0}# Item {1} cannot be transferred more than {2} against Purchase Order {3}","الصف {0} # الصنف {1} لا يمكن نقله أكثر من {2} من أمر الشراء {3}"
"Sales campaigns.","حملات المبيعات"
"Unknown Caller","غير معروف المتصل"
"Standard tax template that can be applied to all Sales Transactions. This template can contain list of tax heads and also other expense / income heads like ""Shipping"", ""Insurance"", ""Handling"" etc.

#### Note

The tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.

#### Description of Columns

1. Calculation Type:
    - This can be on **Net Total** (that is the sum of basic amount).
    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.
    - **Actual** (as mentioned).
2. Account Head: The Account ledger under which this tax will be booked
3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.
4. Description: Description of the tax (that will be printed in invoices / quotes).
5. Rate: Tax rate.
6. Amount: Tax amount.
7. Total: Cumulative total to this point.
8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).
9. Is this Tax included in Basic Rate?: If you check this, it means that this tax will not be shown below the item table, but will be included in the Basic Rate in your main item table. This is useful where you want give a flat price (inclusive of all taxes) price to customers.","قالب الضرائب القياسية التي يمكن تطبيقها على جميع عمليات البيع. يمكن أن يحتوي هذا القالب قائمة رؤساء الضريبية، وكذلك غيرهم من رؤساء حساب / الدخل مثل ""شحن""، ""التأمين""، ""معالجة""، وغيرها

 #### ملاحظة

قيمة الضريبة الذي يتم تعريفها هنا سوف تكون قيمة ضريبة موحدة لجميع **الأصناف**. إذا كانت هناك **أصناف** لها قيم مختلفة، فيجب أن تضاف في جدول **ضرائب الأصناف** في سجل **الصنف** الأساسي.

 #### وصف الأعمدة

 1. نوع الحساب:
 - وهذا يمكن أن يكون على **الإجمالي الصافي** (هذا هو مجموع المبلغ الأساسي).
 - ** في مجموع الصف السابق / القيمة ** (للضرائب التراكمية أو الرسوم). إذا قمت بتحديد هذا الخيار، سيتم تطبيق الضريبة كنسبة مئوية من الصف السابق (في جدول الضرائب) كمية أو المجموع.
 - **الفعلية** (كما ذكر).
 2. رأس الحساب: حساب دفتر الأستاذ الذي سيتم تسجيل هذه الضريبة تحته
 3. مركز التكلفة: إذا كانت الضرائب / الرسوم هي دخل (مثل الشحن) أو مصروف فيجب أن يتم تسجيلها مقابل مركز التكلفة.
 4. الوصف: وصف الضريبة (التي ستتم طباعتها في الفواتير / عروض الأسعار).
 5. القيمة: قيمة الضريبة.
 6. المبلغ: مبلغ الضرائب.
 7. المجموع: المجموع التراكمي حتى هذه النقطة.
 8. أدخل الصف: إذا كان الأساس هو ""إجمالي الصف السابق"" يمكنك تحديد رقم الصف الذي سيتم اتخاذه كأساس لهذا الحساب (الافتراضي هو الصف السابق).
 9. هل هذه الضريبة متضمنة في السعر الأساسي؟: إذا قمت بتحديد هذا الخيار، فهذا يعني أنه لن يتم عرض هذه الضريبة أسفل جدول الأصناف، ولكن سوف تدرج في السعر الأساسي في جدول الأصناف الرئيسي الخاص بك. وهذا مفيد عندما تريد إعطاء سعر ثابت (شاملة لجميع الضرائب) للعملاء."
"Corrective","تصحيحي"
"Bank A/C No.","رقم الحساب المصرفي."
"Reading 7","قراءة 7"
"UIN Holders","أصحاب UIN"
"Partially Ordered","طلبت جزئيا"
"Lab Test","فخص المختبر"
"Student Report Generation Tool","أداة إنشاء تقرير الطلاب"
"Healthcare Schedule Time Slot","فتحة وقت جدول الرعاية الصحية"
"Doc Name","اسم الوثيقة"
"Expense Claim Type","نوع  المطالبة  بالنفقات"
"Default settings for Shopping Cart","الإعدادات الافتراضية لسلة التسوق"
"Save Item","حفظ الصنف"
"New Expense","حساب جديد"
"Ignore Existing Ordered Qty","تجاهل الكمية الموجودة المطلوبة"
"Add Timeslots","إضافة فسحات زمنية"
"Please set Account in Warehouse {0} or Default Inventory Account in Company {1}","يرجى تعيين Account in Warehouse {0} أو Account Inventory Account in Company {1}"
"Asset scrapped via Journal Entry {0}","الأصول تم اهمالها عبر إدخال قيد دفتر اليومية {0}"
"Interest Income Account","الحساب الخاص بإيرادات الفائدة"
"Unreconciled","لم تتم تسويتها"
"Allow check-out after shift end time (in minutes)","السماح بتسجيل المغادرة بعد وقت انتهاء فترة العمل (بالدقائق)"
"Max benefits should be greater than zero to dispense benefits","يجب أن تكون الفوائد القصوى أكبر من الصفر لتوزيع الاستحقاقات"
"Review Invitation Sent","تم إرسال دعوة المراجعة"
"Shift Assignment","اسناد فترة العمل"
"Employee Transfer Property","خاصية نقل الموظفين"
"The field Equity/Liability Account cannot be blank","لا يمكن أن يكون حساب حقوق الملكية / المسؤولية فارغًا"
"From Time Should Be Less Than To Time","من وقت يجب أن يكون أقل من الوقت"
"Biotechnology","التكنولوجيا الحيوية"
"Item {0} (Serial No: {1}) cannot be consumed as is reserverd\
						 to fullfill Sales Order {2}.","لا يمكن استهلاك الصنف {0} (الرقم المسلسل: {1}) كما هو reserverd \ to Fullfill Sales Order {2}."
"Office Maintenance Expenses","نفقات صيانة المكاتب"
"Go to","اذهب إلى"
"Update Price from Shopify To ERPNext Price List","تحديث السعر من Shopify إلى قائمة أسعار ERPNext"
"Setting up Email Account","إعداد حساب بريد إلكتروني"
"Please enter Item first","الرجاء إدخال الصنف أولا"
"Needs Analysis","تحليل الاحتياجات"
"Downtime","التوقف"
"Liability","الخصوم"
"Sanctioned Amount cannot be greater than Claim Amount in Row {0}.","لا يمكن أن يكون المبلغ الموافق عليه أكبر من مبلغ المطالبة في الصف {0}."
"Academic Term:","الشروط الأكاديمية :"
"Do not include in total","لا تدرج في المجموع"
"Quiz Activity","مسابقة النشاط"
"Default Cost of Goods Sold Account","الحساب الافتراضي لتكلفة البضائع المباعة"
"Sample quantity {0} cannot be more than received quantity {1}","كمية العينة {0} لا يمكن أن تكون أكثر من الكمية المستلمة {1}"
"Price List not selected","قائمة الأسعار غير محددة"
"Family Background","معلومات عن العائلة"
"Send Email","إرسال بريد الإلكتروني"
"Weekday","يوم من أيام الأسبوع"
"Warning: Invalid Attachment {0}","تحذير: مرفق غير صالح {0}"
"Max Sample Quantity","الحد الأقصى لعدد العينات"
"No Permission","لا يوجد تصريح"
"Contract Fulfilment Checklist","قائمة مراجعة إنجاز العقد"
"Heart Rate / Pulse","معدل ضربات القلب / النبض"
"Default Bank Account","حساب المصرف الافتراضي"
"To filter based on Party, select Party Type first","للتصفية استنادا إلى الجهة، حدد نوع الجهة أولاً"
"'Update Stock' can not be checked because items are not delivered via {0}","&quot"
"Acquisition Date","تاريخ شراء المركبة"
"Items with higher weightage will be shown higher","الاصناف ذات الاهمية العالية سوف تظهر بالاعلى"
"Lab Tests and Vital Signs","اختبارات المختبر وعلامات حيوية"
"Bank Reconciliation Detail","تفاصيل التسويات المصرفية"
"Row #{0}: Asset {1} must be submitted","الصف # {0}: الأصل {1} يجب أن يتم تقديمه"
"No employee found","لا يوجد موظف"
"Stopped","توقف"
"If subcontracted to a vendor","إذا الباطن للبائع"
"Student Group is already updated.","تم تحديث مجموعة الطلاب بالفعل."
"Project Update.","تحديث المشروع."
"All Customer Contact","كافة جهات اتصال العميل"
"Tree Details","تفاصيل شجرة"
"Registered","مسجل"
"Event Status","حالة الحدث"
"Availability Timeslot","توافر الفسحات زمنية"
"Support Analytics","دعم تحليلات"
"If you have any questions, please get back to us.","إذا كان لديك أي أسئلة، يرجى أن تعود الينا."
"Cash Flow Mapper","مخطط التدفق النقدي"
"Website Warehouse","مستودع الموقع"
"Minimum Invoice Amount","الحد الأدنى للمبلغ الفاتورة"
"{0} {1}: Cost Center {2} does not belong to Company {3}","{0} {1}: مركز التكلفة {2} لا ينتمي إلى الشركة {3}"
"Program {0} does not exist.","البرنامج {0} غير موجود."
"Upload your letter head (Keep it web friendly as 900px by 100px)","ارفع ملف ترويسة الوثائق (القياس المتوافق مع الويب هو 900 بكسل × 100 بكسل)"
"{0} {1}: Account {2} cannot be a Group","{0} {1}: الحساب {2} لا يمكن أن يكون مجموعة"
"Timesheet {0} is already completed or cancelled","الجدول الزمني {0} بالفعل منتهي أو ملغى"
"No tasks","لاتوجد مهام"
"Sales Invoice {0} created as paid","تم إنشاء فاتورة المبيعات {0} كمدفوعة"
"Copy Fields to Variant","نسخ الحقول إلى متغير"
"Opening Accumulated Depreciation","الاهلاك التراكمي الافتتاحي"
"Score must be less than or equal to 5","يجب أن تكون النتيجة أقل من أو يساوي 5"
"Program Enrollment Tool","أداة انتساب برنامج"
"C-Form records","سجلات النموذج - س"
"The shares already exist","الأسهم موجودة بالفعل"
"Customer and Supplier","العميل والمورد"
"Email Digest Settings","إعدادات الملخصات المرسله عبر الايميل"
"Thank you for your business!","شكرا لك على عملك!"
"Support queries from customers.","دعم الاستفسارات من العملاء."
"Employee Property History","تاريخ الممتلكات الموظف"
"Variant Based On cannot be changed","لا يمكن تغيير المتغير بناءً على"
"Action Doctype","إجراء نوع الملف"
"Retirement Age","سن التقاعد"
"سعر المتوسط المتحرك","Moving Average Rate"
"To Shareholder","للمساهم"
"{0} against Bill {1} dated {2}","{0} مقابل الفاتورة {1} بتاريخ {2}"
"From State","من الدولة"
"Setup Institution","مؤسسة الإعداد"
"Allocating leaves...","تخصيص الإجازات..."
"Vehicle/Bus Number","رقم المركبة / الحافلة"
"Create New Contact","إنشاء جهة اتصال جديدة"
"Course Schedule","الجدول الزمني للمقرر"
"GSTR 3B Report","تقرير GSTR 3B"
"Quote Status","حالة المناقصة"
"Webhooks Secret","Webhooks سر"
"Completion Status","استكمال الحالة"
"Total payments amount can't be greater than {}","لا يمكن أن يكون إجمالي المدفوعات أكبر من {}"
"Select Users","حدد المستخدمون"
"Hotel Room Pricing Item","فندق غرفة التسعير الصنف"
"Tier Name","اسم الطبقة"
"Enter retirement age in years","أدخل سن التقاعد بالسنوات"
"Target Warehouse","المخزن المستهدف"
"Payroll Employee Detail","الرواتب الموظف التفاصيل"
"Please select a warehouse","يرجى تحديد مستودع"
"Starting location from left edge","بدءا الموقع من الحافة اليسرى"
"Territory Target Variance Based On Item Group","التباين المستهدف للمنطقة بناءً على مجموعة الأصناف"
"Import Attendance","استيراد الحضور"
"All Item Groups","كل مجموعات الصنف"
"Item To Manufacture","الصنف لتصنيع"
"Employment Type (optional)","نوع التوظيف (اختياري)"
"Threshold for Suggestion","عتبة الاقتراح"
"{0} {1} status is {2}","{0} {1} الحالة هي {2}"
"Collection Temperature","درجة حرارة المجموعة"
"Provide Email Address registered in company","تزويد بعنوان البريد الإلكتروني المسجل في شركة"
"Enable Checkout","تمكين الدفع"
"Purchase Order to Payment","مدفوعات امر الشراء"
"Projected Qty","الكمية المتوقعة"
"Payment Due Date","تاريخ استحقاق السداد"
"Reserved Qty: Quantity ordered for sale, but not delivered.","الكمية المحجوزة : الكمية المطلوبة لل بيع، ولكن لم يتم تسليمها ."
"Interval UOM","الفاصل الزمني أوم"
"Reselect, if the chosen address is edited after save","إعادة تحديد، إذا تم تحرير عنوان المختار بعد حفظ"
"Reserved Qty for Subcontract: Raw materials quantity to make subcontracted items.","الكمية المحجوزة للعقد من الباطن: كمية المواد الخام لصنع سلع من الباطن."
"Item Variant {0} already exists with same attributes","متغير الصنف {0} موجود بالفعل مع نفس الخصائص"
"Hub Publishing Details","تفاصيل النشر على Hub"
"'Opening'","'افتتاحي'"
"Open To Do","فتح قائمة المهام"
"Mixed Conditions","ظروف مختلطة"
"Call Summary Saved","تم حفظ ملخص الاتصال"
"Via Customer Portal","عبر بوابة العملاء"
"Actual Amount","المبلغ الفعلي"
"SGST Amount","مبلغ ضريبة السلع والخدمات الحكومية (SGST)"
"Result Format","تنسيق النتيجة"
"Expenses","النفقات"
"Support Hours","ساعات الدعم"
"Delivery Notes","مذكرات التسليم"
"Item Variant Attribute","وصف متغير الصنف"
"Purchase Receipt Trends","شراء اتجاهات الإيصال"
"Bimonthly","نصف شهري"
"Brake Pad","وسادة الفرامل"
"Fertilizer Contents","محتوى الأسمدة"
"Research & Development","البحث و التطوير"
"Amount to Bill","قيمة الفاتورة"
"Based On Payment Terms","بناء على شروط الدفع"
"ERPNext Settings","إعدادات ERPNext"
"Registration Details","تفاصيل التسجيل"
"Couldn't Set Service Level Agreement {0}.","لا يمكن تعيين اتفاقية مستوى الخدمة {0}."
"Total Billed Amount","المبلغ الكلي وصفت"
"Re-Order Qty","إعادة طلب للكمية"
"Leave Block List Date","تواريخ الإجازات المحظورة"
"Quality Feedback Parameter","نوعية ردود الفعل المعلمة"
"BOM #{0}: Raw material cannot be same as main Item","بوم # {0}: المواد الخام لا يمكن أن يكون نفس الصنف الرئيسي"
"Total Applicable Charges in Purchase Receipt Items table must be same as Total Taxes and Charges","مجموع الرسوم المطبقة في شراء طاولة إيصال عناصر يجب أن يكون نفس مجموع الضرائب والرسوم"
"If enabled, system will create the work order for the exploded items against which BOM is available.","في حالة التمكين ، سيقوم النظام بإنشاء ترتيب العمل للعناصر المنفجرة التي يتوفر عليها BOM."
"Incentives","الحوافز"
"Requested Numbers","الأرقام المطلوبة"
"Evening","مساء"
"Quiz Configuration","مسابقة التكوين"
"Normal","عادي"
"Enabling 'Use for Shopping Cart', as Shopping Cart is enabled and there should be at least one Tax Rule for Shopping Cart","تمكين &quot"
"Stock Details","تفاصيل المخزون"
"Project Value","قيمة المشروع"
"Point-of-Sale","نقطة البيع"
"Fee Creation Status","حالة إنشاء الرسوم"
"Create Sales Orders to help you plan your work and deliver on-time","قم بإنشاء أوامر المبيعات لمساعدتك في تخطيط عملك وتقديمه في الوقت المحدد"
"Odometer Reading","قراءة عداد المسافات"
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","رصيد الحساب رصيد دائن، لا يسمح لك بتغييره 'الرصيد يجب أن يكون مدين'"
"Balance must be","يجب أن يكون الرصيد"
"Available Qty","الكمية المتاحة"
"Default Warehouse to to create Sales Order and Delivery Note","المستودع الافتراضي لإنشاء أمر مبيعات وتسليم ملاحظة"
"On Previous Row Total","على إجمالي الصف السابق"
"Rejected Qty","الكمية المرفوضة"
"Action Field","حقل الإجراء"
"Manage Customer","إدارة العملاء"
"Always synch your products from Amazon MWS before synching the Orders details","قم دائمًا بمزامنة منتجاتك من Amazon MWS قبل مزامنة تفاصيل الطلبات"
"Delivery Stops","توقف التسليم"
"Working Days","أيام العمل"
"Cannot change Service Stop Date for item in row {0}","لا يمكن تغيير تاريخ إيقاف الخدمة للصنف الموجود في الصف {0}"
"Incoming Rate","سعر الوارد"
"Gross Weight","الوزن الإجمالي"
"Encashment Threshold Days","أيام عتبة الاسترداد"
"Final Assessment Grades","درجات التقييم النهائية"
"The name of your company for which you are setting up this system.","اسم الشركة التي كنت تقوم بإعداد هذا النظام."
"Include holidays in Total no. of Working Days","العطلات تحسب من ضمن أيام العمل"
"Setup your Institute in ERPNext","إعداد المعهد الخاص بك في إربنكست"
"Plant Analysis","تحليل النباتات"
"Timeline","الجدول الزمني"
"Hold","معلق"
"Alternate Item","صنف بديل"
"Request Data","طلب البيانات"
"Date of Joining","تاريخ الالتحاق بالعمل"
"Update Series","تحديث الرقم المتسلسل"
"Is Subcontracted","وتعاقد من الباطن"
"Minimum Seating","الحد الأدنى للجلوس"
"Item Attribute Values","قيم سمة الصنف"
"Examination Result","نتيجة الامتحان"
